n,Mn
1.000000000000000000e+00,1.862029943506673746e+01
2.000000000000000000e+00,2.322944670161242087e+01
3.000000000000000000e+00,2.322944670166163661e+01
4.000000000000000000e+00,6.117797808391345882e+01
5.000000000000000000e+00,6.328217781918807106e+01
6.000000000000000000e+00,6.328217781932040964e+01
7.000000000000000000e+00,6.663960829287002241e+01
8.000000000000000000e+00,6.826886937764862751e+01
9.000000000000000000e+00,6.826886937765624452e+01
1.000000000000000000e+01,7.304641692345411741e+01
1.100000000000000000e+01,8.204910140825246856e+01
1.200000000000000000e+01,8.204910140853307610e+01
1.300000000000000000e+01,8.451086738328562831e+01
1.400000000000000000e+01,8.766581628863438880e+01
1.500000000000000000e+01,8.766581628893551681e+01
1.600000000000000000e+01,1.874325264898631076e+02
1.700000000000000000e+01,2.901432484252334234e+02
1.800000000000000000e+01,2.901904308917623894e+02
1.900000000000000000e+01,3.038254129942677082e+02
2.000000000000000000e+01,3.039054594476219791e+02
2.100000000000000000e+01,3.039054594484099994e+02
2.200000000000000000e+01,3.040715844886908599e+02
2.300000000000000000e+01,3.044666642678751032e+02
2.400000000000000000e+01,3.047109764303881434e+02
2.500000000000000000e+01,3.050699222184792916e+02
2.600000000000000000e+01,3.051699855910912902e+02
2.700000000000000000e+01,3.051699855911825807e+02
2.800000000000000000e+01,3.062512236036246236e+02
2.900000000000000000e+01,3.081223242112538401e+02
3.000000000000000000e+01,3.081223242115613630e+02
3.100000000000000000e+01,3.081257119273528247e+02
3.200000000000000000e+01,3.081281306788108054e+02
3.300000000000000000e+01,3.081285444025942297e+02
3.400000000000000000e+01,3.081286289338236770e+02
3.500000000000000000e+01,3.081291761694009210e+02
3.600000000000000000e+01,3.081291761697821698e+02
3.700000000000000000e+01,3.081304105135621398e+02
3.800000000000000000e+01,3.081323341088432244e+02
3.900000000000000000e+01,3.081326297381849031e+02
4.000000000000000000e+01,3.081334367599711754e+02
4.100000000000000000e+01,3.081336820321397454e+02
4.200000000000000000e+01,3.081336820327469468e+02
4.300000000000000000e+01,3.098959112190888732e+02
4.400000000000000000e+01,3.099021144061768496e+02
4.500000000000000000e+01,3.099021144063873976e+02
4.600000000000000000e+01,3.099021516677474324e+02
4.700000000000000000e+01,3.099021709250353638e+02
4.800000000000000000e+01,3.099021712985284580e+02
4.900000000000000000e+01,3.099021797947125947e+02
5.000000000000000000e+01,3.099021838238040800e+02
5.100000000000000000e+01,3.099021838242279614e+02
5.200000000000000000e+01,3.099282522936659348e+02
5.300000000000000000e+01,3.099747794787392081e+02
5.400000000000000000e+01,3.099747794791569504e+02
5.500000000000000000e+01,3.100934229478295947e+02
5.600000000000000000e+01,3.101364588020607584e+02
5.700000000000000000e+01,3.101364588023529336e+02
5.800000000000000000e+01,3.101364838662233865e+02
5.900000000000000000e+01,3.101364919342921667e+02
6.000000000000000000e+01,3.101365034734773758e+02
6.100000000000000000e+01,3.101365045688107784e+02
6.200000000000000000e+01,3.101365085113480973e+02
6.300000000000000000e+01,3.101365085113758369e+02
6.400000000000000000e+01,3.101820216383767388e+02
6.500000000000000000e+01,3.101868786584482791e+02
6.600000000000000000e+01,3.101868786589418505e+02
6.700000000000000000e+01,3.127895914283637353e+02
6.800000000000000000e+01,3.129370825626068040e+02
6.900000000000000000e+01,3.129370825629055162e+02
7.000000000000000000e+01,3.129399540410546479e+02
7.100000000000000000e+01,3.129654753967490137e+02
7.200000000000000000e+01,3.129654753972357639e+02
7.300000000000000000e+01,3.129654795897438362e+02
7.400000000000000000e+01,3.129654801770940935e+02
7.500000000000000000e+01,3.129655180037504465e+02
7.600000000000000000e+01,3.129655189990176041e+02
7.700000000000000000e+01,3.129655284243276583e+02
7.800000000000000000e+01,3.129655284243354458e+02
7.900000000000000000e+01,3.129796272193277673e+02
8.000000000000000000e+01,3.129833957065678192e+02
8.100000000000000000e+01,3.129833957070455881e+02
8.200000000000000000e+01,3.137461365151685300e+02
8.300000000000000000e+01,3.148804276252641898e+02
8.400000000000000000e+01,3.148804276254238630e+02
8.500000000000000000e+01,3.148874321961470741e+02
8.600000000000000000e+01,3.148931910302788424e+02
8.700000000000000000e+01,3.148931910310653279e+02
8.800000000000000000e+01,3.148932021503570127e+02
8.900000000000000000e+01,3.148932137589881108e+02
9.000000000000000000e+01,3.148932378606619409e+02
9.100000000000000000e+01,3.148932411095245243e+02
9.200000000000000000e+01,3.148932481777945327e+02
9.300000000000000000e+01,3.148932481778270471e+02
9.400000000000000000e+01,3.168799225039899738e+02
9.500000000000000000e+01,3.175496167583636407e+02
9.600000000000000000e+01,3.175496167586285310e+02
9.700000000000000000e+01,3.175525466130060295e+02
9.800000000000000000e+01,3.175588762792343687e+02
9.900000000000000000e+01,3.175588762800716722e+02
1.000000000000000000e+02,3.175589941666706864e+02
1.010000000000000000e+02,3.175590171582691710e+02
1.020000000000000000e+02,3.175590172264061266e+02
1.030000000000000000e+02,3.175590415200358052e+02
1.040000000000000000e+02,3.175590569136438717e+02
1.050000000000000000e+02,3.175590569137681882e+02
1.060000000000000000e+02,3.176228175228242208e+02
1.070000000000000000e+02,3.176229868317624891e+02
1.080000000000000000e+02,3.176504628504388847e+02
1.090000000000000000e+02,3.176553115304793664e+02
1.100000000000000000e+02,3.176756503648601893e+02
1.110000000000000000e+02,3.176756503654863764e+02
1.120000000000000000e+02,3.177470319022203284e+02
1.130000000000000000e+02,3.178295374849439554e+02
1.140000000000000000e+02,3.178677732177188773e+02
1.150000000000000000e+02,3.179102489196433226e+02
1.160000000000000000e+02,3.179136589756818125e+02
1.170000000000000000e+02,3.179136589756935223e+02
1.180000000000000000e+02,3.179186927212340379e+02
1.190000000000000000e+02,3.179209076516019650e+02
1.200000000000000000e+02,3.179209076521964903e+02
1.210000000000000000e+02,3.179217373997058758e+02
1.220000000000000000e+02,3.179367291610302573e+02
1.230000000000000000e+02,3.179368574655149473e+02
1.240000000000000000e+02,3.179390976629224497e+02
1.250000000000000000e+02,3.179906851192573640e+02
1.260000000000000000e+02,3.179906851195261765e+02
1.270000000000000000e+02,3.186014150737615296e+02
1.280000000000000000e+02,3.199818685169219634e+02
1.290000000000000000e+02,3.199818685170828871e+02
1.300000000000000000e+02,3.199912142636673025e+02
1.310000000000000000e+02,3.200026067914766372e+02
1.320000000000000000e+02,3.200032586924369298e+02
1.330000000000000000e+02,3.200049226779635774e+02
1.340000000000000000e+02,3.200181732265147048e+02
1.350000000000000000e+02,3.200181732271527721e+02
1.360000000000000000e+02,3.200182965609537860e+02
1.370000000000000000e+02,3.200183108552384965e+02
1.380000000000000000e+02,3.200183118609454027e+02
1.390000000000000000e+02,3.200183586227899468e+02
1.400000000000000000e+02,3.200183586286831314e+02
1.410000000000000000e+02,3.200183586294616020e+02
1.420000000000000000e+02,3.200241790348683821e+02
1.430000000000000000e+02,3.200241832036321057e+02
1.440000000000000000e+02,3.200293579170009934e+02
1.450000000000000000e+02,3.200298735284588929e+02
1.460000000000000000e+02,3.200401364110362579e+02
1.470000000000000000e+02,3.200401364114478042e+02
1.480000000000000000e+02,3.200456489731573697e+02
1.490000000000000000e+02,3.200456782421816797e+02
1.500000000000000000e+02,3.200456782429167788e+02
1.510000000000000000e+02,3.200458609561724188e+02
1.520000000000000000e+02,3.200460121546869345e+02
1.530000000000000000e+02,3.200461334689849195e+02
1.540000000000000000e+02,3.200461336730886046e+02
1.550000000000000000e+02,3.200466557333195965e+02
1.560000000000000000e+02,3.200466557333209607e+02
1.570000000000000000e+02,3.200468158770075888e+02
1.580000000000000000e+02,3.200468180297312415e+02
1.590000000000000000e+02,3.200468850339186702e+02
1.600000000000000000e+02,3.200468916452389863e+02
1.610000000000000000e+02,3.200469095488709286e+02
1.620000000000000000e+02,3.200469095496588920e+02
1.630000000000000000e+02,3.200541098680675987e+02
1.640000000000000000e+02,3.200546296318020723e+02
1.650000000000000000e+02,3.200551875731714517e+02
1.660000000000000000e+02,3.200607134211707603e+02
1.670000000000000000e+02,3.200620626306829308e+02
1.680000000000000000e+02,3.200620626314616857e+02
1.690000000000000000e+02,3.200621382319024519e+02
1.700000000000000000e+02,3.200621461189950878e+02
1.710000000000000000e+02,3.200621681994118717e+02
1.720000000000000000e+02,3.200621699316741342e+02
1.730000000000000000e+02,3.200622007619155056e+02
1.740000000000000000e+02,3.200622007619215310e+02
1.750000000000000000e+02,3.218543642120164918e+02
1.760000000000000000e+02,3.226767177171984144e+02
1.770000000000000000e+02,3.226767177174413064e+02
1.780000000000000000e+02,3.226767361881178431e+02
1.790000000000000000e+02,3.226768803276957556e+02
1.800000000000000000e+02,3.226769622383356477e+02
1.810000000000000000e+02,3.226769622581698513e+02
1.820000000000000000e+02,3.226769933723538770e+02
1.830000000000000000e+02,3.226769933730760727e+02
1.840000000000000000e+02,3.226770329151927399e+02
1.850000000000000000e+02,3.226770919527801880e+02
1.860000000000000000e+02,3.226771487887914986e+02
1.870000000000000000e+02,3.226772068185429134e+02
1.880000000000000000e+02,3.226772363773344523e+02
1.890000000000000000e+02,3.226772363776693737e+02
1.900000000000000000e+02,3.226773381058213772e+02
1.910000000000000000e+02,3.226817508464162643e+02
1.920000000000000000e+02,3.226817508464177990e+02
1.930000000000000000e+02,3.226822714199130360e+02
1.940000000000000000e+02,3.226890447742431434e+02
1.950000000000000000e+02,3.226913455462107549e+02
1.960000000000000000e+02,3.226930646557368050e+02
1.970000000000000000e+02,3.226930868103530656e+02
1.980000000000000000e+02,3.226930868107978085e+02
1.990000000000000000e+02,3.226931292361785495e+02
2.000000000000000000e+02,3.226934143793632188e+02
2.010000000000000000e+02,3.226935758303369539e+02
2.020000000000000000e+02,3.226935946097209467e+02
2.030000000000000000e+02,3.226936006169697748e+02
2.040000000000000000e+02,3.226936006170323026e+02
2.050000000000000000e+02,3.226939229422911239e+02
2.060000000000000000e+02,3.226940894680742531e+02
2.070000000000000000e+02,3.226941059956700428e+02
2.080000000000000000e+02,3.226941108806409488e+02
2.090000000000000000e+02,3.226942004746593966e+02
2.100000000000000000e+02,3.226942004747237434e+02
2.110000000000000000e+02,3.226987242952340011e+02
2.120000000000000000e+02,3.227010298347304911e+02
2.130000000000000000e+02,3.227029915160993596e+02
2.140000000000000000e+02,3.227030343652521651e+02
2.150000000000000000e+02,3.227032948648424053e+02
2.160000000000000000e+02,3.227032948655827340e+02
2.170000000000000000e+02,3.227033823100504719e+02
2.180000000000000000e+02,3.227034656473235827e+02
2.190000000000000000e+02,3.227034783337413728e+02
2.200000000000000000e+02,3.227034962898196113e+02
2.210000000000000000e+02,3.227035771667564177e+02
2.220000000000000000e+02,3.227035771673114937e+02
2.230000000000000000e+02,3.242137040496581903e+02
2.240000000000000000e+02,3.247787360420369396e+02
2.250000000000000000e+02,3.247787360422766483e+02
2.260000000000000000e+02,3.247818930065602672e+02
2.270000000000000000e+02,3.247822658700898160e+02
2.280000000000000000e+02,3.247822658704891978e+02
2.290000000000000000e+02,3.247824697806395307e+02
2.300000000000000000e+02,3.247825706134357802e+02
2.310000000000000000e+02,3.247825983730634221e+02
2.320000000000000000e+02,3.247828966215355990e+02
2.330000000000000000e+02,3.247829200857319734e+02
2.340000000000000000e+02,3.247829200864925951e+02
2.350000000000000000e+02,3.247870683708422348e+02
2.360000000000000000e+02,3.247887363434158488e+02
2.370000000000000000e+02,3.247887412921251098e+02
2.380000000000000000e+02,3.247904636689411859e+02
2.390000000000000000e+02,3.247905752367826153e+02
2.400000000000000000e+02,3.247905752368703247e+02
2.410000000000000000e+02,3.247907820117724214e+02
2.420000000000000000e+02,3.247908320253679904e+02
2.430000000000000000e+02,3.247909414395258523e+02
2.440000000000000000e+02,3.247911567068169916e+02
2.450000000000000000e+02,3.247912050033775131e+02
2.460000000000000000e+02,3.247912050037561471e+02
2.470000000000000000e+02,3.247941998768192207e+02
2.480000000000000000e+02,3.247942101732875244e+02
2.490000000000000000e+02,3.247942101736928748e+02
2.500000000000000000e+02,3.247942597702784155e+02
2.510000000000000000e+02,3.247943760373432269e+02
2.520000000000000000e+02,3.247944785705559525e+02
2.530000000000000000e+02,3.247944849427885856e+02
2.540000000000000000e+02,3.247945502715238604e+02
2.550000000000000000e+02,3.247945502719845763e+02
2.560000000000000000e+02,3.257225396690545267e+02
2.570000000000000000e+02,3.274069653360330676e+02
2.580000000000000000e+02,3.274069653363843031e+02
2.590000000000000000e+02,3.274073203594171559e+02
2.600000000000000000e+02,3.274090132501521566e+02
2.610000000000000000e+02,3.274106653795886928e+02
2.620000000000000000e+02,3.274130948874012574e+02
2.630000000000000000e+02,3.274134304860435236e+02
2.640000000000000000e+02,3.274134304866812499e+02
2.650000000000000000e+02,3.274136365569265195e+02
2.660000000000000000e+02,3.274139269246301751e+02
2.670000000000000000e+02,3.274139366184646747e+02
2.680000000000000000e+02,3.274139577389388478e+02
2.690000000000000000e+02,3.274139914756962071e+02
2.700000000000000000e+02,3.274139914757041083e+02
2.710000000000000000e+02,3.274139907594753822e+02
2.720000000000000000e+02,3.274139898966997748e+02
2.730000000000000000e+02,3.274139898975280971e+02
2.740000000000000000e+02,3.274140033755946888e+02
2.750000000000000000e+02,3.274140035852585697e+02
2.760000000000000000e+02,3.274140035860373246e+02
2.770000000000000000e+02,3.274140321873967423e+02
2.780000000000000000e+02,3.274140326894651594e+02
2.790000000000000000e+02,3.274140326900144942e+02
2.800000000000000000e+02,3.274163326585579625e+02
2.810000000000000000e+02,3.274164061281577460e+02
2.820000000000000000e+02,3.274164061286310812e+02
2.830000000000000000e+02,3.274207527828902471e+02
2.840000000000000000e+02,3.274207915355764840e+02
2.850000000000000000e+02,3.274208050626540398e+02
2.860000000000000000e+02,3.274218513317475754e+02
2.870000000000000000e+02,3.274222030029291091e+02
2.880000000000000000e+02,3.274222030030437622e+02
2.890000000000000000e+02,3.274222222095939969e+02
2.900000000000000000e+02,3.274224879663069601e+02
2.910000000000000000e+02,3.274225032230198167e+02
2.920000000000000000e+02,3.274225051594289653e+02
2.930000000000000000e+02,3.274225466021437683e+02
2.940000000000000000e+02,3.274225466028138953e+02
2.950000000000000000e+02,3.274225601317186261e+02
2.960000000000000000e+02,3.274225869932154751e+02
2.970000000000000000e+02,3.274225869937569087e+02
2.980000000000000000e+02,3.274227921746626180e+02
2.990000000000000000e+02,3.274230088909239385e+02
3.000000000000000000e+02,3.274230122829655443e+02
